,X,Y,sigma_X,sigma_Y
0,6.3637929411868805,6.761621479639376,36.390228381560796,44.54999999998463
1,6.926364761460888,-6.609809139568629,44.549999999999734,44.549999999906724
2,-6.1627167650322,-7.086446309275279,25.985548197933255,32.12336887055854
3,-4.67009632055684,11.645136878428659,44.549999999999955,24.840007621688017
4,3.7321873732789084,11.454599439962529,44.549999999948554,32.87855661739844
5,12.097790497571907,3.6133077938300335,18.304924332840056,24.13474976610073
6,-11.821832390132302,3.15428710995226,44.54999999999625,11.264950951712088
7,-11.891750618828462,-4.762794082760018,44.54999999995886,23.805757735339924
8,12.660532726536267,-3.9468527782508693,11.835474584027056,44.549999999998384
9,-3.7573204736528614,-12.864178527896671,14.221014901566802,9.99548301306782
10,4.461764393856248,-12.660697881703001,44.54999720295673,26.259690448640825
